rgn_id,year,a_prot_3nm
25,2000,3857
25,2001,3857
25,2002,3857
25,2003,3857
25,2004,3857
25,2005,3857
25,2006,3857
25,2007,3857
25,2008,3857
25,2009,4051.5
25,2010,4051.5
25,2011,4051.5
25,2012,4051.5
25,2013,4051.5
25,2014,4051.5
25,2015,4051.5
25,2016,4051.5
25,2017,4051.5
25,2018,4051.5
25,2019,4051.5
