rgn_id,year,a_prot_1km
25,2000,647.75
25,2001,647.75
25,2002,647.75
25,2003,647.75
25,2004,647.75
25,2005,647.75
25,2006,647.75
25,2007,647.75
25,2008,647.75
25,2009,745
25,2010,745
25,2011,745
25,2012,745
25,2013,745
25,2014,745
25,2015,745
25,2016,745
25,2017,745
25,2018,745
25,2019,745
