rgn_id,year,popsum
25,2000,23576834.74
25,2001,24219993.99
25,2002,24863153.26
25,2003,25506312.51
25,2004,26149471.72
25,2005,26792631.01
25,2006,27307664.2
25,2007,27822697.29
25,2008,28337730.09
25,2009,28852763.14
25,2010,29367796.17
25,2011,29974446.82
25,2012,30581097.54
25,2013,31187748.02
25,2014,31794398.79
25,2015,32401049.31
25,2016,32998486.44
25,2017,33595923.43
25,2018,34193360.65
25,2019,34790797.76
25,2020,35388234.72
