rgn_id,sciname,iucn_sid,year,eval_yr,category
25,Balaenoptera musculus,2477,2012,2008,EN
25,Carcharhinus melanopterus,39375,2012,2009,NT
25,Cheilinus undulatus,4592,2012,2004,EN
25,Chelonia mydas,4615,2012,2004,EN
25,Dermochelys coriacea,6494,2012,2000,CR
25,Dermochelys coriacea,46967817,2012,NA,CR
25,Dermochelys coriacea,46967873,2012,NA,NA
25,Eretmochelys imbricata,8005,2012,2008,CR
25,Isurus oxyrinchus,39341,2012,2009,VU
25,Isurus paucus,60225,2012,2006,VU
25,Lepidochelys olivacea,11534,2012,2008,VU
25,Orcaella brevirostris,15419,2012,2008,VU
25,Orcaella brevirostris,44557,2012,2004,CR
25,Prionace glauca,39381,2012,2009,NT
25,Rhincodon typus,19488,2012,2005,VU
25,Steno bredanensis,20738,2012,2012,LC
25,Balaenoptera musculus,2477,2011,2008,EN
25,Carcharhinus melanopterus,39375,2011,2009,NT
25,Cheilinus undulatus,4592,2011,2004,EN
25,Chelonia mydas,4615,2011,2004,EN
25,Dermochelys coriacea,6494,2011,2000,CR
25,Dermochelys coriacea,46967817,2011,NA,CR
25,Dermochelys coriacea,46967873,2011,NA,NA
25,Eretmochelys imbricata,8005,2011,2008,CR
25,Isurus oxyrinchus,39341,2011,2009,VU
25,Isurus paucus,60225,2011,2006,VU
25,Lepidochelys olivacea,11534,2011,2008,VU
25,Orcaella brevirostris,15419,2011,2008,VU
25,Orcaella brevirostris,44557,2011,2004,CR
25,Prionace glauca,39381,2011,2009,NT
25,Rhincodon typus,19488,2011,2005,VU
25,Steno bredanensis,20738,2011,2008,LC
25,Balaenoptera musculus,2477,2010,2008,EN
25,Carcharhinus melanopterus,39375,2010,2009,NT
25,Cheilinus undulatus,4592,2010,2004,EN
25,Chelonia mydas,4615,2010,2004,EN
25,Dermochelys coriacea,6494,2010,2000,CR
25,Dermochelys coriacea,46967817,2010,NA,CR
25,Dermochelys coriacea,46967873,2010,NA,NA
25,Eretmochelys imbricata,8005,2010,2008,CR
25,Isurus oxyrinchus,39341,2010,2009,VU
25,Isurus paucus,60225,2010,2006,VU
25,Lepidochelys olivacea,11534,2010,2008,VU
25,Orcaella brevirostris,15419,2010,2008,VU
25,Orcaella brevirostris,44557,2010,2004,CR
25,Prionace glauca,39381,2010,2009,NT
25,Rhincodon typus,19488,2010,2005,VU
25,Steno bredanensis,20738,2010,2008,LC
25,Balaenoptera musculus,2477,2009,2008,EN
25,Carcharhinus melanopterus,39375,2009,2009,NT
25,Cheilinus undulatus,4592,2009,2004,EN
25,Chelonia mydas,4615,2009,2004,EN
25,Dermochelys coriacea,6494,2009,2000,CR
25,Dermochelys coriacea,46967817,2009,NA,CR
25,Dermochelys coriacea,46967873,2009,NA,NA
25,Eretmochelys imbricata,8005,2009,2008,CR
25,Isurus oxyrinchus,39341,2009,2009,VU
25,Isurus paucus,60225,2009,2006,VU
25,Lepidochelys olivacea,11534,2009,2008,VU
25,Orcaella brevirostris,15419,2009,2008,VU
25,Orcaella brevirostris,44557,2009,2004,CR
25,Prionace glauca,39381,2009,2009,NT
25,Rhincodon typus,19488,2009,2005,VU
25,Steno bredanensis,20738,2009,2008,LC
25,Balaenoptera musculus,2477,2008,2008,EN
25,Carcharhinus melanopterus,39375,2008,2000,NT
25,Cheilinus undulatus,4592,2008,2004,EN
25,Chelonia mydas,4615,2008,2004,EN
25,Dermochelys coriacea,6494,2008,2000,CR
25,Dermochelys coriacea,46967817,2008,NA,CR
25,Dermochelys coriacea,46967873,2008,NA,NA
25,Eretmochelys imbricata,8005,2008,2008,CR
25,Isurus oxyrinchus,39341,2008,2000,NT
25,Isurus paucus,60225,2008,2006,VU
25,Lepidochelys olivacea,11534,2008,2008,VU
25,Orcaella brevirostris,15419,2008,2008,VU
25,Orcaella brevirostris,44557,2008,2004,CR
25,Prionace glauca,39381,2008,2000,NT
25,Rhincodon typus,19488,2008,2005,VU
25,Steno bredanensis,20738,2008,2008,LC
25,Balaenoptera musculus,2477,2007,1996,EN
25,Carcharhinus melanopterus,39375,2007,2000,NT
25,Cheilinus undulatus,4592,2007,2004,EN
25,Chelonia mydas,4615,2007,2004,EN
25,Dermochelys coriacea,6494,2007,2000,CR
25,Dermochelys coriacea,46967817,2007,NA,CR
25,Dermochelys coriacea,46967873,2007,NA,NA
25,Eretmochelys imbricata,8005,2007,1996,CR
25,Isurus oxyrinchus,39341,2007,2000,NT
25,Isurus paucus,60225,2007,2006,VU
25,Lepidochelys olivacea,11534,2007,1996,EN
25,Orcaella brevirostris,15419,2007,NA,VU
25,Orcaella brevirostris,44557,2007,2004,CR
25,Prionace glauca,39381,2007,2000,NT
25,Rhincodon typus,19488,2007,2005,VU
25,Steno bredanensis,20738,2007,NA,LC
25,Balaenoptera musculus,2477,2006,1996,EN
25,Carcharhinus melanopterus,39375,2006,2000,NT
25,Cheilinus undulatus,4592,2006,2004,EN
25,Chelonia mydas,4615,2006,2004,EN
25,Dermochelys coriacea,6494,2006,2000,CR
25,Dermochelys coriacea,46967817,2006,NA,CR
25,Dermochelys coriacea,46967873,2006,NA,NA
25,Eretmochelys imbricata,8005,2006,1996,CR
25,Isurus oxyrinchus,39341,2006,2000,NT
25,Isurus paucus,60225,2006,2006,VU
25,Lepidochelys olivacea,11534,2006,1996,EN
25,Orcaella brevirostris,15419,2006,NA,VU
25,Orcaella brevirostris,44557,2006,2004,CR
25,Prionace glauca,39381,2006,2000,NT
25,Rhincodon typus,19488,2006,2005,VU
25,Steno bredanensis,20738,2006,NA,LC
25,Balaenoptera musculus,2477,2005,1996,EN
25,Carcharhinus melanopterus,39375,2005,2000,NT
25,Cheilinus undulatus,4592,2005,2004,EN
25,Chelonia mydas,4615,2005,2004,EN
25,Dermochelys coriacea,6494,2005,2000,CR
25,Dermochelys coriacea,46967817,2005,NA,CR
25,Dermochelys coriacea,46967873,2005,NA,NA
25,Eretmochelys imbricata,8005,2005,1996,CR
25,Isurus oxyrinchus,39341,2005,2000,NT
25,Isurus paucus,60225,2005,NA,VU
25,Lepidochelys olivacea,11534,2005,1996,EN
25,Orcaella brevirostris,15419,2005,NA,VU
25,Orcaella brevirostris,44557,2005,2004,CR
25,Prionace glauca,39381,2005,2000,NT
25,Rhincodon typus,19488,2005,2005,VU
25,Steno bredanensis,20738,2005,NA,LC
25,Balaenoptera musculus,2477,2004,1996,EN
25,Carcharhinus melanopterus,39375,2004,2000,NT
25,Cheilinus undulatus,4592,2004,2004,EN
25,Chelonia mydas,4615,2004,2004,EN
25,Dermochelys coriacea,6494,2004,2000,CR
25,Dermochelys coriacea,46967817,2004,NA,CR
25,Dermochelys coriacea,46967873,2004,NA,NA
25,Eretmochelys imbricata,8005,2004,1996,CR
25,Isurus oxyrinchus,39341,2004,2000,NT
25,Isurus paucus,60225,2004,NA,VU
25,Lepidochelys olivacea,11534,2004,1996,EN
25,Orcaella brevirostris,15419,2004,NA,VU
25,Orcaella brevirostris,44557,2004,2004,CR
25,Prionace glauca,39381,2004,2000,NT
25,Rhincodon typus,19488,2004,2000,VU
25,Steno bredanensis,20738,2004,NA,LC
25,Balaenoptera musculus,2477,2003,1996,EN
25,Carcharhinus melanopterus,39375,2003,2000,NT
25,Cheilinus undulatus,4592,2003,1996,VU
25,Chelonia mydas,4615,2003,1996,EN
25,Dermochelys coriacea,6494,2003,2000,CR
25,Dermochelys coriacea,46967817,2003,NA,CR
25,Dermochelys coriacea,46967873,2003,NA,NA
25,Eretmochelys imbricata,8005,2003,1996,CR
25,Isurus oxyrinchus,39341,2003,2000,NT
25,Isurus paucus,60225,2003,NA,VU
25,Lepidochelys olivacea,11534,2003,1996,EN
25,Orcaella brevirostris,15419,2003,NA,VU
25,Orcaella brevirostris,44557,2003,NA,CR
25,Prionace glauca,39381,2003,2000,NT
25,Rhincodon typus,19488,2003,2000,VU
25,Steno bredanensis,20738,2003,NA,LC
25,Balaenoptera musculus,2477,2002,1996,EN
25,Carcharhinus melanopterus,39375,2002,2000,NT
25,Cheilinus undulatus,4592,2002,1996,VU
25,Chelonia mydas,4615,2002,1996,EN
25,Dermochelys coriacea,6494,2002,2000,CR
25,Dermochelys coriacea,46967817,2002,NA,CR
25,Dermochelys coriacea,46967873,2002,NA,NA
25,Eretmochelys imbricata,8005,2002,1996,CR
25,Isurus oxyrinchus,39341,2002,2000,NT
25,Isurus paucus,60225,2002,NA,VU
25,Lepidochelys olivacea,11534,2002,1996,EN
25,Orcaella brevirostris,15419,2002,NA,VU
25,Orcaella brevirostris,44557,2002,NA,CR
25,Prionace glauca,39381,2002,2000,NT
